COMBINED HOST-MOUSE COMMUNICATION LOG
======================================


[bind macros 123 to btns 1 and 6 -456 to 2 and 5 - 789 to 3 and 4 - 7 to ctrl-alt-del - 8 fire 3x with 40ms delay - 9 tripple click - 10 rgb 11 polling rate 12 stop 13 play.pcapng]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | RESET/INIT | 08 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 44 |
  <-- M2H | RESET/INIT | 09 09 00 00 00 00 00 00 00 00 00 00 00 00 00 00 43 |
  --> H2M | HANDSHAKE  | 08 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 4A |
  <-- M2H | HANDSHAKE  | 09 03 00 00 00 01 01 00 00 00 00 00 00 00 00 00 47 |
  --> H2M | WRITE      | 08 07 00 03 00 0A 06 31 00 32 00 33 00 00 00 00 9D | [Page:0x03 Off:0x00 Len:10]
  <-- M2H | WRITE      | 09 07 00 03 00 0A 06 31 00 32 00 33 00 00 00 00 9C | [Page:0x03 Off:0x00 Len:10]
  --> H2M | WRITE      | 08 07 00 03 0A 0A 00 00 00 00 00 00 00 00 00 00 2F | [Page:0x03 Off:0x0A Len:10]
  <-- M2H | WRITE      | 09 07 00 03 0A 0A 00 00 00 00 00 00 00 00 00 00 2E | [Page:0x03 Off:0x0A Len:10]
  --> H2M | WRITE      | 08 07 00 03 14 0A 00 00 00 00 00 00 00 00 00 00 25 | [Page:0x03 Off:0x14 Len:10]
  <-- M2H | WRITE      | 09 07 00 03 14 0A 00 00 00 00 00 00 00 00 00 00 24 | [Page:0x03 Off:0x14 Len:10]
  --> H2M | WRITE      | 08 07 00 03 1E 0A 00 12 81 1E 00 00 7D 41 1E 00 8E | [Page:0x03 Off:0x1E Len:10] Text:'ሀẁ'
  <-- M2H | WRITE      | 09 07 00 03 1E 0A 00 12 81 1E 00 00 7D 41 1E 00 8D | [Page:0x03 Off:0x1E Len:10] Text:'ሀẁ'
  --> H2M | WRITE      | 08 07 00 03 28 0A 00 BB 81 1F 00 00 7D 41 1F 00 D9 | [Page:0x03 Off:0x28 Len:10] Text:'묀ᾁ'
  <-- M2H | WRITE      | 09 07 00 03 28 0A 00 BB 81 1F 00 00 7D 41 1F 00 D8 | [Page:0x03 Off:0x28 Len:10] Text:'묀ᾁ'
